Project,Language,Link
EVM,go,https://github.com/ethereum/go-ethereum
py-EVM,python,https://github.com/pipermerriam/py-evm
EthereumJ,java,https://github.com/ethereum/ethereumj
SputnikVM,rust,https://github.com/ethereumproject/sputnikvm
K Framework,K framework,https://github.com/kframework/evm-semantics
hevm,haskell,https://github.com/dapphub/hevm
Burrow,go,https://github.com/hyperledger/burrow
Ethereumjs-VM,javascript,https://github.com/ethereumjs/ethereumjs-vm
sputter,clojure,https://github.com/nervous-systems/sputter
eWASM kernel,javascript,https://github.com/ewasm/ewasm-kernel